num_firms;num_customers;network_type;pref_att_links;acc_step;l_ind;l_wom;l_ad;a;s_v0;s_a;s_e;maxstock;wealth;risk;buyer_memory;p;c;d;cpp;a;ai;num_links;max_iter;roi;mgn;cst;market_size;sales_quantity;final_quanlity_expectation;final_uncertainty
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;50;25;15000;60;30;0;1;0,05;-0,025;200;365;45,73150685;41730;912,5;5890;1391;0,965936209;0,042699161
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;50;25;15000;60;30;0;1;0,05;-0,025;200;365;35,76986301;32640;912,5;4942;1088;0,950830988;0,044871661
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;50;25;15000;60;30;0;1;0,05;-0,025;200;365;42,37808219;38670;912,5;5608;1289;0,965092834;0,045596119
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;50;25;15000;60;30;0;1;0,05;-0,025;200;365;29,72054795;27120;912,5;5356;904;0,960540412;0,046709891
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;50;25;15000;60;30;0;1;0,05;-0,025;200;365;38,56438356;35190;912,5;4708;1173;0,992737124;0,044726177
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;50;25;15000;60;30;0;1;0,05;-0,025;200;365;29,5890411;27000;912,5;5230;900;0,95519878;0,04964628
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;25;15000;60;30;0;1;0,05;-0,025;200;365;15,22191781;13890;912,5;2727;463;0,975530318;0,048452788
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;25;15000;60;30;0;1;0,05;-0,025;200;365;20,67945205;18870;912,5;2831;629;0,969021766;0,0481847
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;25;15000;60;30;0;1;0,05;-0,025;200;365;20,48219178;18690;912,5;2902;623;0,979256176;0,045669649
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;25;15000;60;30;0;1;0,05;-0,025;200;365;23,57260274;21510;912,5;3120;717;0,988232608;0,047935069
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;25;15000;60;30;0;1;0,05;-0,025;200;365;19,33150685;17640;912,5;2642;588;0,963443535;0,049458806
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;25;15000;60;30;0;1;0,05;-0,025;200;365;22,1260274;20190;912,5;3195;673;0,996429137;0,047630435
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;25;15000;60;30;0;1;0,05;-0,025;200;365;21,50136986;19620;912,5;2825;654;0,983118349;0,047135007
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;25;15000;60;30;0;1;0,05;-0,025;200;365;27,32054795;24930;912,5;3145;831;0,975003731;0,045655971
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;25;15000;60;30;0;1;0,05;-0,025;200;365;21,40273973;19530;912,5;3071;651;0,974611227;0,046440435
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;25;15000;60;30;0;1;0,05;-0,025;200;365;28,37260274;25890;912,5;3434;863;0,95919441;0,044898816
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;50;25;15000;60;30;0;1;0,05;-0,025;200;365;13,28219178;12120;912,5;1847;404;0,977728013;0,049880392
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;50;25;15000;60;30;0;1;0,05;-0,025;200;365;12,88767123;11760;912,5;1923;392;0,994548663;0,048213535
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;50;25;15000;60;30;0;1;0,05;-0,025;200;365;14,99178082;13680;912,5;2186;456;0,988621965;0,048267103
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;50;25;15000;60;30;0;1;0,05;-0,025;200;365;14,16986301;12930;912,5;1948;431;0,983086127;0,048421652
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;50;25;15000;60;30;0;1;0,05;-0,025;200;365;13,6109589;12420;912,5;2040;414;0,98601694;0,046666556
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;50;25;15000;60;30;0;1;0,05;-0,025;200;365;15,71506849;14340;912,5;2076;478;0,998326553;0,047133938
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;50;25;15000;60;30;0;1;0,05;-0,025;200;365;15,71506849;14340;912,5;1828;478;0,972125897;0,049319514
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;50;25;15000;60;30;0;1;0,05;-0,025;200;365;11,37534247;10380;912,5;1926;346;0,964006196;0,049887525
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;50;25;15000;60;30;0;1;0,05;-0,025;200;365;14,20273973;12960;912,5;1932;432;0,98074789;0,048598833
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;50;25;15000;60;30;0;1;0,05;-0,025;200;365;19,75890411;18030;912,5;2282;601;0,990647261;0,04697276
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;75;25;15000;60;30;0;1;0,05;-0,025;200;365;47,37534247;43230;912,5;7932;1441;0,957896729;0,041788065
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;75;25;15000;60;30;0;1;0,05;-0,025;200;365;51,12328767;46650;912,5;8010;1555;0,959957898;0,043196587
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;75;25;15000;60;30;0;1;0,05;-0,025;200;365;61,51232877;56130;912,5;7266;1871;0,977108426;0,041747359
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;75;25;15000;60;30;0;1;0,05;-0,025;200;365;44,41643836;40530;912,5;7623;1351;0,979480358;0,040305151
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;75;25;15000;60;30;0;1;0,05;-0,025;200;365;55,2;50370;912,5;8096;1679;0,959792613;0,042855013
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;75;25;15000;60;30;0;1;0,05;-0,025;200;365;53,26027397;48600;912,5;7434;1620;0,965563125;0,041736104
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;75;25;15000;60;30;0;1;0,05;-0,025;200;365;48,42739726;44190;912,5;7364;1473;0,954451961;0,041059248
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;75;25;15000;60;30;0;1;0,05;-0,025;200;365;55,62739726;50760;912,5;8423;1692;0,955383259;0,042073502
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;75;25;15000;60;30;0;1;0,05;-0,025;200;365;62,72876712;57240;912,5;8105;1908;0,957597528;0,040901324
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;75;25;15000;60;30;0;1;0,05;-0,025;200;365;61,8739726;56460;912,5;7574;1882;0,970567998;0,040753636
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;75;25;15000;60;30;0;1;0,05;-0,025;200;365;40,0109589;36510;912,5;4500;1217;0,977320532;0,043065883
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;75;25;15000;60;30;0;1;0,05;-0,025;200;365;21,99452055;20070;912,5;3801;669;0,951092963;0,044807937
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;75;25;15000;60;30;0;1;0,05;-0,025;200;365;29,72054795;27120;912,5;3838;904;0,973304015;0,043868139
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;75;25;15000;60;30;0;1;0,05;-0,025;200;365;29,3260274;26760;912,5;4424;892;0,974768902;0,044930431
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;75;25;15000;60;30;0;1;0,05;-0,025;200;365;27,64931507;25230;912,5;3573;841;0,983828479;0,044897381
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;75;25;15000;60;30;0;1;0,05;-0,025;200;365;35,83561644;32700;912,5;4224;1090;0,969540596;0,044177417
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;75;25;15000;60;30;0;1;0,05;-0,025;200;365;24,13150685;22020;912,5;3911;734;0,965098357;0,04571361
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;75;25;15000;60;30;0;1;0,05;-0,025;200;365;34,25753425;31260;912,5;4305;1042;1,008603133;0,044319238
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;75;25;15000;60;30;0;1;0,05;-0,025;200;365;34,02739726;31050;912,5;4233;1035;0,984695843;0,041776642
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;75;25;15000;60;30;0;1;0,05;-0,025;200;365;29,98356164;27360;912,5;4585;912;0,956549905;0,044776305
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;75;25;15000;60;30;0;1;0,05;-0,025;200;365;21,92876712;20010;912,5;2659;667;0,989302532;0,047565743
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;75;25;15000;60;30;0;1;0,05;-0,025;200;365;20,8109589;18990;912,5;2801;633;0,954178149;0,046856139
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;75;25;15000;60;30;0;1;0,05;-0,025;200;365;22,61917808;20640;912,5;2771;688;0,979564914;0,04446047
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;75;25;15000;60;30;0;1;0,05;-0,025;200;365;16,83287671;15360;912,5;2725;512;0,973225566;0,044539367
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;75;25;15000;60;30;0;1;0,05;-0,025;200;365;23,96712329;21870;912,5;3092;729;0,974473677;0,043301444
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;75;25;15000;60;30;0;1;0,05;-0,025;200;365;19,23287671;17550;912,5;2692;585;0,972554157;0,047401161
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;75;25;15000;60;30;0;1;0,05;-0,025;200;365;18,31232877;16710;912,5;2934;557;0,96800952;0,045862755
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;75;25;15000;60;30;0;1;0,05;-0,025;200;365;17,12876712;15630;912,5;2764;521;0,973535804;0,046848191
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;75;25;15000;60;30;0;1;0,05;-0,025;200;365;24,03287671;21930;912,5;2979;731;0,991244656;0,045075723
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;75;25;15000;60;30;0;1;0,05;-0,025;200;365;21,8630137;19950;912,5;3106;665;0,949892235;0,043712049
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;25;50;15000;60;30;0;1;0,05;-0,025;200;365;23,27671233;21240;912,5;3594;708;0,962761475;0,049326889
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;25;50;15000;60;30;0;1;0,05;-0,025;200;365;23,17808219;21150;912,5;3710;705;0,973770198;0,051111486
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;25;50;15000;60;30;0;1;0,05;-0,025;200;365;23,04657534;21030;912,5;3362;701;0,981875158;0,048298222
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;25;50;15000;60;30;0;1;0,05;-0,025;200;365;27,68219178;25260;912,5;3370;842;0,967554128;0,049173585
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;25;50;15000;60;30;0;1;0,05;-0,025;200;365;21,23835616;19380;912,5;3139;646;0,973249801;0,051637101
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;25;50;15000;60;30;0;1;0,05;-0,025;200;365;23,07945205;21060;912,5;3671;702;0,993984221;0,048163868
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;25;50;15000;60;30;0;1;0,05;-0,025;200;365;30,90410959;28200;912,5;4417;940;0,984374838;0,047911746
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;25;50;15000;60;30;0;1;0,05;-0,025;200;365;17,16164384;15660;912,5;3077;522;0,995414578;0,050605353
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;25;50;15000;60;30;0;1;0,05;-0,025;200;365;20,64657534;18840;912,5;3023;628;0,985430898;0,04870603
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;25;50;15000;60;30;0;1;0,05;-0,025;200;365;18,96986301;17310;912,5;3767;577;0,95729175;0,04825646
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;25;50;15000;60;30;0;1;0,05;-0,025;200;365;14,1369863;12900;912,5;1796;430;0,998137991;0,048880582
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;25;50;15000;60;30;0;1;0,05;-0,025;200;365;11,96712329;10920;912,5;1682;364;1,002136425;0,050307777
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;25;50;15000;60;30;0;1;0,05;-0,025;200;365;8,350684932;7620;912,5;1593;254;0,994711057;0,050745082
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;25;50;15000;60;30;0;1;0,05;-0,025;200;365;11,96712329;10920;912,5;2213;364;0,925878748;0,051718383
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;25;50;15000;60;30;0;1;0,05;-0,025;200;365;17,26027397;15750;912,5;2489;525;0,972927224;0,049976725
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;25;50;15000;60;30;0;1;0,05;-0,025;200;365;14,82739726;13530;912,5;2163;451;0,981204491;0,052232851
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;25;50;15000;60;30;0;1;0,05;-0,025;200;365;11,44109589;10440;912,5;2032;348;1,010915686;0,051817848
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;25;50;15000;60;30;0;1;0,05;-0,025;200;365;11,96712329;10920;912,5;2049;364;0,995678299;0,0514767
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;25;50;15000;60;30;0;1;0,05;-0,025;200;365;15,78082192;14400;912,5;2057;480;0,986397845;0,048287079
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;25;50;15000;60;30;0;1;0,05;-0,025;200;365;13,51232877;12330;912,5;2106;411;0,972268215;0,048703016
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;25;50;15000;60;30;0;1;0,05;-0,025;200;365;10,91506849;9960;912,5;1401;332;0,976332946;0,050907195
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;25;50;15000;60;30;0;1;0,05;-0,025;200;365;8,416438356;7680;912,5;1196;256;1,003729011;0,050505164
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;25;50;15000;60;30;0;1;0,05;-0,025;200;365;11,24383562;10260;912,5;1357;342;0,994316913;0,049956085
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;25;50;15000;60;30;0;1;0,05;-0,025;200;365;10,75068493;9810;912,5;1575;327;0,973063153;0,049026536
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;25;50;15000;60;30;0;1;0,05;-0,025;200;365;10,19178082;9300;912,5;1333;310;1,002778126;0,0531356
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;25;50;15000;60;30;0;1;0,05;-0,025;200;365;8,646575342;7890;912,5;1352;263;0,995119154;0,053754675
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;25;50;15000;60;30;0;1;0,05;-0,025;200;365;13,01917808;11880;912,5;1646;396;0,981745828;0,049160775
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;25;50;15000;60;30;0;1;0,05;-0,025;200;365;6,739726027;6150;912,5;1275;205;0,986033713;0,050911529
